Date,Day_of_Week,Total_Arrivals,Arrivals_5am,Arrivals_6am,Arrivals_7am
2025-01-01,Wednesday,13,6,7,0
2025-01-02,Thursday,13,6,7,0
2025-01-03,Friday,15,6,9,0
2025-01-04,Saturday,12,3,9,0
2025-01-05,Sunday,17,5,12,0
2025-01-06,Monday,12,5,7,0
2025-01-07,Tuesday,14,5,9,0
2025-01-08,Wednesday,14,8,6,0
2025-01-09,Thursday,14,4,10,0
2025-01-10,Friday,8,3,5,0
2025-01-11,Saturday,15,6,9,0
2025-01-12,Sunday,13,4,9,0
2025-01-13,Monday,7,3,4,0
2025-01-14,Tuesday,13,5,8,0
2025-01-15,Wednesday,11,4,7,0
2025-01-16,Thursday,9,4,5,0
2025-01-17,Friday,13,3,10,0
2025-01-18,Saturday,15,6,9,0
2025-01-19,Sunday,13,6,7,0
2025-01-20,Monday,15,5,10,0
2025-01-21,Tuesday,12,5,7,0
2025-01-22,Wednesday,22,12,10,0
2025-01-23,Thursday,10,3,7,0
2025-01-24,Friday,17,6,11,0
2025-01-25,Saturday,12,4,8,0
2025-01-26,Sunday,12,4,8,0
2025-01-27,Monday,9,1,8,0
2025-01-28,Tuesday,20,8,12,0
2025-01-29,Wednesday,15,6,9,0
2025-01-30,Thursday,8,1,7,0
2025-01-31,Friday,17,9,8,0
2025-02-01,Saturday,6,1,5,0
2025-02-02,Sunday,13,1,12,0
2025-02-03,Monday,11,3,8,0
2025-02-04,Tuesday,14,6,8,0
2025-02-05,Wednesday,10,3,7,0
2025-02-06,Thursday,12,4,8,0
2025-02-07,Friday,8,3,5,0
2025-02-08,Saturday,21,7,14,0
2025-02-09,Sunday,17,6,11,0
2025-02-10,Monday,14,5,9,0
2025-02-11,Tuesday,17,5,12,0
2025-02-12,Wednesday,9,3,6,0
2025-02-13,Thursday,11,4,7,0
2025-02-14,Friday,15,4,11,0
2025-02-15,Saturday,14,4,10,0
2025-02-16,Sunday,18,9,9,0
2025-02-17,Monday,20,10,10,0
2025-02-18,Tuesday,11,4,7,0
2025-02-19,Wednesday,17,6,11,0
2025-02-20,Thursday,13,5,8,0
2025-02-21,Friday,14,6,8,0
2025-02-22,Saturday,9,5,4,0
2025-02-23,Sunday,12,7,5,0
2025-02-24,Monday,12,5,7,0
2025-02-25,Tuesday,10,5,5,0
2025-02-26,Wednesday,11,3,8,0
2025-02-27,Thursday,15,6,9,0
2025-02-28,Friday,17,7,10,0
2025-03-01,Saturday,16,7,9,0
2025-03-02,Sunday,22,3,19,0
2025-03-03,Monday,15,5,10,0
2025-03-04,Tuesday,14,5,9,0
2025-03-05,Wednesday,11,5,6,0
2025-03-06,Thursday,18,10,8,0
2025-03-07,Friday,14,7,7,0
2025-03-08,Saturday,10,4,6,0
2025-03-09,Sunday,14,6,8,0
2025-03-10,Monday,12,3,9,0
2025-03-11,Tuesday,19,13,6,0
2025-03-12,Wednesday,16,2,14,0
2025-03-13,Thursday,13,2,11,0
2025-03-14,Friday,11,5,6,0
2025-03-15,Saturday,16,6,10,0
2025-03-16,Sunday,13,6,7,0
2025-03-17,Monday,14,5,9,0
2025-03-18,Tuesday,15,6,9,0
2025-03-19,Wednesday,13,7,6,0
2025-03-20,Thursday,9,5,4,0
2025-03-21,Friday,12,5,7,0
2025-03-22,Saturday,19,10,9,0
2025-03-23,Sunday,18,7,11,0
2025-03-24,Monday,8,3,5,0
2025-03-25,Tuesday,8,5,3,0
2025-03-26,Wednesday,15,3,12,0
2025-03-27,Thursday,16,4,12,0
2025-03-28,Friday,17,6,11,0
2025-03-29,Saturday,12,7,5,0
2025-03-30,Sunday,18,4,14,0
2025-03-31,Monday,10,5,5,0
